16 1 2.943 13.586
17 1 1.911 21.151
18 1 3.772 42.064
19 1 5.394 84.235
20 1 8.477 168.951
21 1 14.073 345.698
22 1 25.915 692.549
23 1 50.319 1431.3
24 1 102.141 2991.75
25 1 191.546 6219.09
16 2 3.441 12.656
17 2 3.413 21.102
18 2 3.344 33.44
19 2 8.263 80.814
20 2 7.983 156.443
21 2 10.778 269.642
22 2 15.918 607.492
23 2 29.145 1231.37
24 2 51.731 2703.33
25 2 196.306 5380.14
16 3 8.108 17.658
17 3 9.489 34.275
18 3 10.25 44.447
19 3 8.185 68.012
20 3 10.199 131.932
21 3 14.132 223.675
22 3 21.467 484.199
23 3 31.978 960.567
24 3 47.419 2007.46
25 3 87.501 3710.82
16 4 1.086 10.65
17 4 1.802 18.975
18 4 2.058 40.583
16 4 1.107 11.281
17 4 1.604 19.228
18 4 2.164 34.914
19 4 4.388 57.597
20 4 5.969 112.986
21 4 8.173 229.31
22 4 12.803 392.31
23 4 22.791 824.055
24 4 39.176 1612.9
25 4 78.525 3515.6
16 5 1.133 12.519
17 5 2.023 21.516
18 5 1.952 40.673
19 5 3.168 73.716
20 5 5.542 114.702
21 5 8.307 231.958
22 5 47.269 666.28
23 5 23.454 771.285
24 5 37.828 1517.34
25 5 69.24 3217.58
16 6 2.353 15.557
17 6 2.664 22.712
18 6 2.654 39.266
19 6 5.889 66.426
20 6 6.429 127.877
21 6 8.716 246.166
22 6 12.337 422.056
23 6 20.215 849.976
24 6 37.517 1661.79
25 6 70.185 3099.91
16 7 3.395 18.736
17 7 3.008 21.488
18 7 4.092 43.234
19 7 6.262 75.187
20 7 8.313 137.097
21 7 12.046 255.476
22 7 15.769 458.033
23 7 20.167 871.891
24 7 88.561 2166.01
25 7 65.393 3340.52
16 8 6.203 21.757
16 8 7.256 21.847
17 8 7.184 31.14
18 8 7.766 45.555
19 8 9.485 83.507
20 8 10.266 122.389
21 8 12.992 240.351
22 8 15.868 445.243
23 8 21.295 846.938
24 8 34.883 1683
25 8 64.459 3280.35
00000 00000 00000 00000
